COUNTRY,Treaty Description,Treaty Name,Signature Date,"Ratification Date, Accession(a), Succession(d) Date"
Command item,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1
Afghanistan,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,
Albania,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,17 Oct 2007 (a)
Algeria,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,
Andorra,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,05 Aug 2002,22 Sep 2006
Angola,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,24 Sep 2013,02 Oct 2019
Antigua and Barbuda,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,
Argentina,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,20 Dec 2006,02 Sep 2008
Armenia,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,26 Sep 2019,18 Mar 2021
Australia,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,02 Oct 1990 (a)
Austria,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,08 Apr 1991,02 Mar 1993
Azerbaijan,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,22 Jan 1999 (a)
Bahamas,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,
Bahrain,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,
Bangladesh,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,
Barbados,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,
Belarus,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,
Belgium,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,12 Jul 1990,08 Dec 1998
Belize,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,
Benin,Second Optional Protocol to the International Covenant on Civil and Political Rights aiming to the abolition of the death penalty,CCPR-OP2-DP,,05 Jul 2012 (a)
