COUNTRY,Treaty Description,Treaty Name,Signature Date,"Ratification Date, Accession(a), Succession(d) Date"
Command item,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1
Afghanistan,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,19 Sep 2002 (a)
Albania,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,05 Feb 2008 (a)
Algeria,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,27 Dec 2006 (a)
Andorra,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,07 Sep 2000,30 Apr 2001
Angola,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,24 Mar 2005 (a)
Antigua and Barbuda,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,18 Dec 2001,30 Apr 2002
Argentina,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,01 Apr 2002,25 Sep 2003
Armenia,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,24 Sep 2003,30 Jun 2005
Australia,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,18 Dec 2001,08 Jan 2007
Austria,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,06 Sep 2000,06 May 2004
Azerbaijan,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,08 Sep 2000,03 Jul 2002
Bahamas,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,28 Sep 2015 (a)
Bahrain,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,21 Sep 2004 (a)
Bangladesh,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,06 Sep 2000,06 Sep 2000
Barbados,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,
Belarus,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,23 Jan 2002 (a)
Belgium,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,06 Sep 2000,17 Mar 2006
Belize,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,06 Sep 2000,01 Dec 2003
Benin,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,22 Feb 2001,31 Jan 2005
Bhutan,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,15 Sep 2005,26 Oct 2009
Bolivia (Plurinational State of),Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,10 Nov 2001,03 Jun 2003
Bosnia and Herzegovina,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,07 Sep 2000,04 Sep 2002
Botswana,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,24 Sep 2003 (a)
Brazil,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,06 Sep 2000,27 Jan 2004
Brunei Darussalam,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,21 Nov 2006 (a)
Bulgaria,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,08 Jun 2001,12 Feb 2002
Burkina Faso,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,16 Nov 2001,31 Mar 2006
Burundi,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,06 Nov 2007 (a)
Cabo Verde,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,10 May 2002 (a)
Cambodia,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,27 Jun 2000,30 May 2002
Cameroon,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,05 Oct 2001,
Canada,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,10 Nov 2001,14 Sep 2005
Central African Republic,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,27 Sep 2010,24 Oct 2012
Chad,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,03 May 2002,28 Aug 2002
Chile,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,28 Jun 2000,06 Feb 2003
China,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,06 Sep 2000,03 Dec 2002
Colombia,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,06 Sep 2000,11 Nov 2003
Comoros,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,23 Feb 2007 (a)
Congo,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,27 Oct 2009 (a)
Cook Islands,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,
Costa Rica,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,07 Sep 2000,09 Apr 2002
CГґte d'Ivoire,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,19 Sep 2011 (a)
Croatia,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,08 May 2002,13 May 2002
Cuba,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,13 Oct 2000,25 Sep 2001
Cyprus,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,08 Feb 2001,06 Apr 2006
Czech Republic,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,26 Jan 2005,26 Aug 2013
Democratic People's Republic of Korea,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,09 Sep 2014,10 Nov 2014
Democratic Republic of the Congo,Optional Protocol to the Convention on the Rights of the Child on the sale of children child prostitution and child pornography,CRC-OP-SC,,11 Nov 2001 (a)
