COUNTRY,Treaty Description,Treaty Name,Signature Date,"Ratification Date, Accession(a), Succession(d) Date"
Command item,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1
Afghanistan,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Albania,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,08 Nov 2007
Algeria,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Andorra,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Angola,Convention for the Protection of All Persons from Enforced Disappearance,CED,24 Sep 2014,
Antigua and Barbuda,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Argentina,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,14 Dec 2007
Armenia,Convention for the Protection of All Persons from Enforced Disappearance,CED,10 Apr 2007,24 Jan 2011
Australia,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Austria,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,07 Jun 2012
Azerbaijan,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Bahamas,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Bahrain,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Bangladesh,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Barbados,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Belarus,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Belgium,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,02 Jun 2011
Belize,Convention for the Protection of All Persons from Enforced Disappearance,CED,,14 Aug 2015 (a)
Benin,Convention for the Protection of All Persons from Enforced Disappearance,CED,19 Mar 2010,02 Nov 2017
Bhutan,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Bolivia (Plurinational State of),Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,17 Dec 2008
Bosnia and Herzegovina,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,30 Mar 2012
Botswana,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Brazil,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,29 Nov 2010
Brunei Darussalam,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Bulgaria,Convention for the Protection of All Persons from Enforced Disappearance,CED,24 Sep 2008,
Burkina Faso,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,03 Dec 2009
Burundi,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Cabo Verde,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,20 Dec 2022
Cambodia,Convention for the Protection of All Persons from Enforced Disappearance,CED,,27 Jun 2013 (a)
Cameroon,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Canada,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Central African Republic,Convention for the Protection of All Persons from Enforced Disappearance,CED,,11 Oct 2016 (a)
Chad,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Chile,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,08 Dec 2009
China,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Colombia,Convention for the Protection of All Persons from Enforced Disappearance,CED,27 Sep 2007,11 Jul 2012
Comoros,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Congo,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Cook Islands,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Costa Rica,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,16 Feb 2012
CГґte d'Ivoire,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Croatia,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,31 Jan 2022
Cuba,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,02 Feb 2009
Cyprus,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Czech Republic,Convention for the Protection of All Persons from Enforced Disappearance,CED,19 Dec 2016,08 Feb 2017
Democratic People's Republic of Korea,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Democratic Republic of the Congo,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Denmark,Convention for the Protection of All Persons from Enforced Disappearance,CED,25 Sep 2007,13 Jan 2022
Djibouti,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Dominica,Convention for the Protection of All Persons from Enforced Disappearance,CED,,13 May 2019 (a)
Dominican Republic,Convention for the Protection of All Persons from Enforced Disappearance,CED,26 Sep 2018,
Ecuador,Convention for the Protection of All Persons from Enforced Disappearance,CED,24 May 2007,20 Oct 2009
Egypt,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
El Salvador,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Equatorial Guinea,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Eritrea,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Estonia,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Eswatini,Convention for the Protection of All Persons from Enforced Disappearance,CED,25 Sep 2007,
Ethiopia,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Fiji,Convention for the Protection of All Persons from Enforced Disappearance,CED,,19 Aug 2019 (a)
Finland,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,24 Mar 2023
France,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,23 Sep 2008
Gabon,Convention for the Protection of All Persons from Enforced Disappearance,CED,25 Sep 2007,19 Jan 2011
Gambia,Convention for the Protection of All Persons from Enforced Disappearance,CED,20 Sep 2017,28 Sep 2018
Georgia,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Germany,Convention for the Protection of All Persons from Enforced Disappearance,CED,26 Sep 2007,24 Sep 2009
Ghana,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Greece,Convention for the Protection of All Persons from Enforced Disappearance,CED,01 Oct 2008,09 Jul 2015
Grenada,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Guatemala,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Guinea,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Guinea-Bissau,Convention for the Protection of All Persons from Enforced Disappearance,CED,24 Sep 2013,
Guyana,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Haiti,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Holy See,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Honduras,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,01 Apr 2008
Hungary,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Iceland,Convention for the Protection of All Persons from Enforced Disappearance,CED,01 Oct 2008,
India,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Indonesia,Convention for the Protection of All Persons from Enforced Disappearance,CED,27 Sep 2010,
Iran (Islamic Republic of),Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Iraq,Convention for the Protection of All Persons from Enforced Disappearance,CED,,23 Nov 2010 (a)
Ireland,Convention for the Protection of All Persons from Enforced Disappearance,CED,29 Mar 2007,
Israel,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Italy,Convention for the Protection of All Persons from Enforced Disappearance,CED,03 Jul 2007,08 Oct 2015
Jamaica,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Japan,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,23 Jul 2009
Jordan,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Kazakhstan,Convention for the Protection of All Persons from Enforced Disappearance,CED,,27 Feb 2009 (a)
Kenya,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Kiribati,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Kuwait,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Kyrgyzstan,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Lao People's Democratic Republic,Convention for the Protection of All Persons from Enforced Disappearance,CED,29 Sep 2008,
Latvia,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Lebanon,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Lesotho,Convention for the Protection of All Persons from Enforced Disappearance,CED,22 Sep 2010,06 Dec 2013
Liberia,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Libya,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Liechtenstein,Convention for the Protection of All Persons from Enforced Disappearance,CED,01 Oct 2007,
Lithuania,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,14 Aug 2013
Luxembourg,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,01 Apr 2022
Madagascar,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Malawi,Convention for the Protection of All Persons from Enforced Disappearance,CED,,14 Jul 2017 (a)
Malaysia,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Maldives,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,31 Jul 2023
Mali,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,01 Jul 2009
Malta,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,27 Mar 2015
Marshall Islands,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Mauritania,Convention for the Protection of All Persons from Enforced Disappearance,CED,27 Sep 2011,03 Oct 2012
Mauritius,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Mexico,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,18 Mar 2008
Micronesia (Federated States of),Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Monaco,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Mongolia,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,12 Feb 2015
Montenegro,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,20 Sep 2011
Morocco,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,14 May 2013
Mozambique,Convention for the Protection of All Persons from Enforced Disappearance,CED,24 Dec 2008,
Myanmar,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Namibia,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Nauru,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Nepal,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Netherlands,Convention for the Protection of All Persons from Enforced Disappearance,CED,29 Apr 2008,23 Mar 2011
New Zealand,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Nicaragua,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Niger,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,24 Jul 2015
Nigeria,Convention for the Protection of All Persons from Enforced Disappearance,CED,,27 Jul 2009 (a)
Niue,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
North Macedonia,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,
Norway,Convention for the Protection of All Persons from Enforced Disappearance,CED,21 Dec 2007,22 Aug 2019
Oman,Convention for the Protection of All Persons from Enforced Disappearance,CED,,12 Jun 2020 (a)
Pakistan,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Palau,Convention for the Protection of All Persons from Enforced Disappearance,CED,20 Sep 2011,
Panama,Convention for the Protection of All Persons from Enforced Disappearance,CED,25 Sep 2007,24 Jun 2011
Papua New Guinea,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Paraguay,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,03 Aug 2010
Peru,Convention for the Protection of All Persons from Enforced Disappearance,CED,,26 Sep 2012 (a)
Philippines,Convention for the Protection of All Persons from Enforced Disappearance,CED,,
Poland,Convention for the Protection of All Persons from Enforced Disappearance,CED,25 Jun 2013,
Portugal,Convention for the Protection of All Persons from Enforced Disappearance,CED,06 Feb 2007,27 Jan 2014
