COUNTRY,Treaty Description,Treaty Name,Signature Date,"Ratification Date, Accession(a), Succession(d) Date"
Command item,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1
Afghanistan,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,06 Jul 1983 (a)
Albania,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,11 May 1994 (a)
Algeria,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,09 Dec 1966,14 Feb 1972
Andorra,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,05 Aug 2002,22 Sep 2006
Angola,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,24 Sep 2013,02 Oct 2019
Antigua and Barbuda,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,25 Oct 1988 (d)
Argentina,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,13 Jul 1967,02 Oct 1968
Armenia,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,23 Jun 1993 (a)
Australia,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,13 Oct 1966,30 Sep 1975
Austria,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,22 Jul 1969,09 May 1972
Azerbaijan,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,16 Aug 1996 (a)
Bahamas,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,05 Aug 1975 (d)
Bahrain,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,27 Mar 1990 (a)
Bangladesh,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,11 Jun 1979 (a)
Barbados,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,08 Nov 1972 (a)
Belarus,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,07 Mar 1966,08 Apr 1969
Belgium,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,17 Aug 1967,07 Aug 1975
Belize,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,06 Sep 2000,14 Nov 2001
Benin,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,02 Feb 1967,30 Nov 2001
Bhutan,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,26 Mar 1973,
Bolivia (Plurinational State of),International Convention on the Elimination of All Forms of Racial Discrimination,CERD,07 Jun 1966,22 Sep 1970
Bosnia and Herzegovina,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,16 Jul 1993 (d)
Botswana,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,20 Feb 1974 (a)
Brazil,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,07 Mar 1966,27 Mar 1968
Brunei Darussalam,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,
Bulgaria,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,01 Jun 1966,08 Aug 1966
Burkina Faso,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,18 Jul 1974 (a)
Burundi,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,01 Feb 1967,27 Oct 1977
Cabo Verde,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,03 Oct 1979 (a)
Cambodia,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,12 Apr 1966,28 Nov 1983
Cameroon,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,12 Dec 1966,24 Jun 1971
Canada,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,24 Aug 1966,14 Oct 1970
Central African Republic,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,07 Mar 1966,16 Mar 1971
Chad,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,17 Aug 1977 (a)
Chile,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,03 Oct 1966,20 Oct 1971
China,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,29 Dec 1981 (a)
Colombia,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,23 Mar 1967,02 Sep 1981
Comoros,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,22 Sep 2000,27 Sep 2004
Congo,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,11 Jul 1988 (a)
Cook Islands,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,
Costa Rica,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,14 Mar 1966,16 Jan 1967
CГґte d'Ivoire,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,04 Jan 1973 (a)
Croatia,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,12 Oct 1992 (d)
Cuba,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,07 Jun 1966,15 Feb 1972
Cyprus,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,12 Dec 1966,21 Apr 1967
Czech Republic,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,22 Feb 1993 (d)
Democratic People's Republic of Korea,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,
Democratic Republic of the Congo,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,21 Apr 1976 (a)
Denmark,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,21 Jun 1966,09 Dec 1971
Djibouti,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,14 Jun 2006,30 Sep 2011
Dominica,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,13 May 2019 (a)
Dominican Republic,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,25 May 1983 (a)
Ecuador,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,22 Sep 1966 (a)
Egypt,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,28 Sep 1966,01 May 1967
El Salvador,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,30 Nov 1979 (a)
Equatorial Guinea,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,08 Oct 2002 (a)
Eritrea,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,31 Jul 2001 (a)
Estonia,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,21 Oct 1991 (a)
Eswatini,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,07 Apr 1969 (a)
Ethiopia,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,23 Jun 1976 (a)
Fiji,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,11 Jan 1973 (d)
Finland,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,06 Oct 1966,14 Jul 1970
France,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,28 Jul 1971 (a)
Gabon,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,20 Sep 1966,29 Feb 1980
Gambia,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,29 Dec 1978 (a)
Georgia,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,02 Jun 1999 (a)
Germany,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,10 Feb 1967,27 Mar 1973 (a)
Ghana,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,08 Sep 1966,08 Sep 1966
Greece,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,07 Mar 1966,18 Jun 1970
Grenada,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,17 Dec 1981,10 May 2013
Guatemala,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,08 Sep 1967,18 Jan 1983
Guinea,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,24 Mar 1966,14 Mar 1977
Guinea-Bissau,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,12 Sep 2000,01 Nov 2010
Guyana,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,11 Dec 1968,15 Feb 1977
Haiti,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,30 Oct 1972,19 Dec 1972
Holy See,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,21 Nov 1966,01 May 1969
Honduras,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,10 Oct 2002 (a)
Hungary,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,15 Sep 1966,04 May 1967
Iceland,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,14 Nov 1966,13 Mar 1967
India,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,02 Mar 1967,03 Dec 1968
Indonesia,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,,25 Jun 1999 (a)
Iran (Islamic Republic of),International Convention on the Elimination of All Forms of Racial Discrimination,CERD,08 Mar 1967,29 Aug 1968
Iraq,International Convention on the Elimination of All Forms of Racial Discrimination,CERD,18 Feb 1969,13 Feb 1970
