COUNTRY,Treaty Description,Treaty Name,Signature Date,"Ratification Date, Accession(a), Succession(d) Date"
Command item,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1
Afghanistan,Convention on the Rights of the Child,CRC,27 Sep 1990,28 Mar 1994
Albania,Convention on the Rights of the Child,CRC,26 Jan 1990,27 Feb 1992
Algeria,Convention on the Rights of the Child,CRC,26 Jan 1990,16 Apr 1993
Andorra,Convention on the Rights of the Child,CRC,02 Oct 1995,02 Jan 1996
Angola,Convention on the Rights of the Child,CRC,14 Feb 1990,05 Dec 1990
Antigua and Barbuda,Convention on the Rights of the Child,CRC,12 Mar 1991,05 Oct 1993
Argentina,Convention on the Rights of the Child,CRC,29 Jun 1990,04 Dec 1990
Armenia,Convention on the Rights of the Child,CRC,,23 Jun 1993 (a)
Australia,Convention on the Rights of the Child,CRC,22 Aug 1990,17 Dec 1990
Austria,Convention on the Rights of the Child,CRC,26 Aug 1990,06 Aug 1992
Azerbaijan,Convention on the Rights of the Child,CRC,,13 Aug 1992 (a)
Bahamas,Convention on the Rights of the Child,CRC,30 Oct 1990,20 Feb 1991
Bahrain,Convention on the Rights of the Child,CRC,,13 Feb 1992 (a)
Bangladesh,Convention on the Rights of the Child,CRC,26 Jan 1990,03 Aug 1990
Barbados,Convention on the Rights of the Child,CRC,19 Apr 1990,09 Oct 1990
Belarus,Convention on the Rights of the Child,CRC,26 Jan 1990,01 Oct 1990
Belgium,Convention on the Rights of the Child,CRC,26 Jan 1990,16 Dec 1991
Belize,Convention on the Rights of the Child,CRC,02 Mar 1990,02 May 1990
Benin,Convention on the Rights of the Child,CRC,25 Apr 1990,03 Aug 1990
Bhutan,Convention on the Rights of the Child,CRC,04 Jun 1990,01 Aug 1990
Bolivia (Plurinational State of),Convention on the Rights of the Child,CRC,08 Mar 1990,26 Jun 1990
Bosnia and Herzegovina,Convention on the Rights of the Child,CRC,,01 Sep 1993 (d)
Botswana,Convention on the Rights of the Child,CRC,,14 Mar 1995 (a)
Brazil,Convention on the Rights of the Child,CRC,26 Jan 1990,24 Sep 1990
Brunei Darussalam,Convention on the Rights of the Child,CRC,,27 Dec 1995 (a)
Bulgaria,Convention on the Rights of the Child,CRC,31 May 1990,03 Jun 1991
Burkina Faso,Convention on the Rights of the Child,CRC,26 Jan 1990,31 Aug 1990
Burundi,Convention on the Rights of the Child,CRC,08 May 1990,19 Oct 1990
Cabo Verde,Convention on the Rights of the Child,CRC,,04 Jun 1992 (a)
Cambodia,Convention on the Rights of the Child,CRC,,15 Oct 1992 (a)
Cameroon,Convention on the Rights of the Child,CRC,25 Sep 1990,11 Jan 1993
Canada,Convention on the Rights of the Child,CRC,28 May 1990,13 Dec 1991
Central African Republic,Convention on the Rights of the Child,CRC,30 Jul 1990,23 Apr 1992
Chad,Convention on the Rights of the Child,CRC,30 Sep 1990,02 Oct 1990
Chile,Convention on the Rights of the Child,CRC,26 Jan 1990,13 Aug 1990
China,Convention on the Rights of the Child,CRC,29 Aug 1990,02 Mar 1992
Colombia,Convention on the Rights of the Child,CRC,26 Jan 1990,28 Jan 1991
Comoros,Convention on the Rights of the Child,CRC,30 Sep 1990,22 Jun 1993
Congo,Convention on the Rights of the Child,CRC,,14 Oct 1993 (a)
Cook Islands,Convention on the Rights of the Child,CRC,,06 Jun 1997 (a)
Costa Rica,Convention on the Rights of the Child,CRC,26 Jan 1990,21 Aug 1990
CГґte d'Ivoire,Convention on the Rights of the Child,CRC,26 Jan 1990,04 Feb 1991
Croatia,Convention on the Rights of the Child,CRC,,12 Oct 1992 (d)
Cuba,Convention on the Rights of the Child,CRC,26 Jan 1990,21 Aug 1991
Cyprus,Convention on the Rights of the Child,CRC,05 Oct 1990,07 Feb 1991
Czech Republic,Convention on the Rights of the Child,CRC,,22 Feb 1993 (d)
Democratic People's Republic of Korea,Convention on the Rights of the Child,CRC,23 Aug 1990,21 Sep 1990
Democratic Republic of the Congo,Convention on the Rights of the Child,CRC,20 Mar 1990,27 Sep 1990
Denmark,Convention on the Rights of the Child,CRC,26 Jan 1990,19 Jul 1991
Djibouti,Convention on the Rights of the Child,CRC,30 Sep 1990,06 Dec 1990
Dominica,Convention on the Rights of the Child,CRC,26 Jan 1990,13 Mar 1991
Dominican Republic,Convention on the Rights of the Child,CRC,08 Aug 1990,11 Jun 1991
Ecuador,Convention on the Rights of the Child,CRC,26 Jan 1990,23 Mar 1990
Egypt,Convention on the Rights of the Child,CRC,05 Feb 1990,06 Jul 1990
El Salvador,Convention on the Rights of the Child,CRC,26 Jan 1990,10 Jul 1990
Equatorial Guinea,Convention on the Rights of the Child,CRC,,15 Jun 1992 (a)
Eritrea,Convention on the Rights of the Child,CRC,20 Dec 1993,03 Aug 1994
Estonia,Convention on the Rights of the Child,CRC,,21 Oct 1991 (a)
Eswatini,Convention on the Rights of the Child,CRC,22 Aug 1990,07 Sep 1995
Ethiopia,Convention on the Rights of the Child,CRC,,14 May 1991 (a)
Fiji,Convention on the Rights of the Child,CRC,02 Jul 1993,13 Aug 1993
Finland,Convention on the Rights of the Child,CRC,26 Jan 1990,20 Jun 1991
France,Convention on the Rights of the Child,CRC,26 Jan 1990,07 Aug 1990
Gabon,Convention on the Rights of the Child,CRC,26 Jan 1990,09 Feb 1994
Gambia,Convention on the Rights of the Child,CRC,05 Feb 1990,08 Aug 1990
Georgia,Convention on the Rights of the Child,CRC,,02 Jun 1994 (a)
Germany,Convention on the Rights of the Child,CRC,26 Jan 1990,06 Mar 1992
Ghana,Convention on the Rights of the Child,CRC,29 Jan 1990,05 Feb 1990
Greece,Convention on the Rights of the Child,CRC,26 Jan 1990,11 May 1993
Grenada,Convention on the Rights of the Child,CRC,21 Feb 1990,05 Nov 1990
Guatemala,Convention on the Rights of the Child,CRC,26 Jan 1990,06 Jun 1990
Guinea,Convention on the Rights of the Child,CRC,,13 Jul 1990 (a)
Guinea-Bissau,Convention on the Rights of the Child,CRC,26 Jan 1990,20 Aug 1990
Guyana,Convention on the Rights of the Child,CRC,30 Sep 1990,14 Jan 1991
Haiti,Convention on the Rights of the Child,CRC,26 Jan 1990,08 Jun 1995
Holy See,Convention on the Rights of the Child,CRC,20 Apr 1990,20 Apr 1990
Honduras,Convention on the Rights of the Child,CRC,31 May 1990,10 Aug 1990
Hungary,Convention on the Rights of the Child,CRC,14 Mar 1990,07 Oct 1991
Iceland,Convention on the Rights of the Child,CRC,26 Jan 1990,28 Oct 1992
India,Convention on the Rights of the Child,CRC,,11 Dec 1992 (a)
Indonesia,Convention on the Rights of the Child,CRC,26 Jan 1990,05 Sep 1990
Iran (Islamic Republic of),Convention on the Rights of the Child,CRC,05 Sep 1991,13 Jul 1994
Iraq,Convention on the Rights of the Child,CRC,,15 Jun 1994 (a)
Ireland,Convention on the Rights of the Child,CRC,30 Sep 1990,28 Sep 1992
Israel,Convention on the Rights of the Child,CRC,03 Jul 1990,03 Oct 1991
Italy,Convention on the Rights of the Child,CRC,26 Jan 1990,05 Sep 1991
Jamaica,Convention on the Rights of the Child,CRC,26 Jan 1990,14 May 1991
