COUNTRY,Treaty Description,Treaty Name,Signature Date,"Ratification Date, Accession(a), Succession(d) Date"
Japan,Convention on the Rights of the Child,CRC,21 Sep 1990,22 Apr 1994
Jordan,Convention on the Rights of the Child,CRC,29 Aug 1990,24 May 1991
Kazakhstan,Convention on the Rights of the Child,CRC,16 Feb 1994,12 Aug 1994
Kenya,Convention on the Rights of the Child,CRC,26 Jan 1990,30 Jul 1990
Kiribati,Convention on the Rights of the Child,CRC,,11 Dec 1995 (a)
Kuwait,Convention on the Rights of the Child,CRC,07 Jun 1990,21 Oct 1991
Kyrgyzstan,Convention on the Rights of the Child,CRC,,07 Oct 1994 (a)
Lao People's Democratic Republic,Convention on the Rights of the Child,CRC,,08 May 1991 (a)
Latvia,Convention on the Rights of the Child,CRC,,14 Apr 1992 (a)
Lebanon,Convention on the Rights of the Child,CRC,26 Jan 1990,14 May 1991
Lesotho,Convention on the Rights of the Child,CRC,21 Aug 1990,10 Mar 1992
Liberia,Convention on the Rights of the Child,CRC,26 Apr 1990,04 Jun 1993
Libya,Convention on the Rights of the Child,CRC,,15 Apr 1993 (a)
Liechtenstein,Convention on the Rights of the Child,CRC,30 Sep 1990,22 Dec 1995
Lithuania,Convention on the Rights of the Child,CRC,,31 Jan 1992 (a)
Luxembourg,Convention on the Rights of the Child,CRC,21 Mar 1990,07 Mar 1994
Madagascar,Convention on the Rights of the Child,CRC,19 Apr 1990,19 Mar 1991
Malawi,Convention on the Rights of the Child,CRC,,02 Jan 1991 (a)
Malaysia,Convention on the Rights of the Child,CRC,,17 Feb 1995 (a)
Maldives,Convention on the Rights of the Child,CRC,21 Aug 1990,11 Feb 1991
Mali,Convention on the Rights of the Child,CRC,26 Jan 1990,20 Sep 1990
Malta,Convention on the Rights of the Child,CRC,26 Jan 1990,30 Sep 1990
Marshall Islands,Convention on the Rights of the Child,CRC,14 Apr 1993,04 Oct 1993
Mauritania,Convention on the Rights of the Child,CRC,26 Jan 1990,16 May 1991
Mauritius,Convention on the Rights of the Child,CRC,,26 Jul 1990 (a)
Mexico,Convention on the Rights of the Child,CRC,26 Jan 1990,21 Sep 1990
Micronesia (Federated States of),Convention on the Rights of the Child,CRC,,05 May 1993 (a)
Monaco,Convention on the Rights of the Child,CRC,,21 Jun 1993 (a)
Mongolia,Convention on the Rights of the Child,CRC,26 Jan 1990,05 Jul 1990
Montenegro,Convention on the Rights of the Child,CRC,,23 Oct 2006 (d)
Morocco,Convention on the Rights of the Child,CRC,26 Jan 1990,21 Jun 1993
Mozambique,Convention on the Rights of the Child,CRC,30 Sep 1990,26 Apr 1994
Myanmar,Convention on the Rights of the Child,CRC,,15 Jul 1991 (a)
Namibia,Convention on the Rights of the Child,CRC,26 Sep 1990,30 Sep 1990
Nauru,Convention on the Rights of the Child,CRC,,27 Jul 1994 (a)
Nepal,Convention on the Rights of the Child,CRC,26 Jan 1990,14 Sep 1990
Netherlands,Convention on the Rights of the Child,CRC,26 Jan 1990,06 Feb 1995
New Zealand,Convention on the Rights of the Child,CRC,01 Oct 1990,06 Apr 1993
Nicaragua,Convention on the Rights of the Child,CRC,06 Feb 1990,05 Oct 1990
Niger,Convention on the Rights of the Child,CRC,26 Jan 1990,30 Sep 1990
Nigeria,Convention on the Rights of the Child,CRC,26 Jan 1990,19 Apr 1991
Niue,Convention on the Rights of the Child,CRC,,20 Dec 1995 (a)
North Macedonia,Convention on the Rights of the Child,CRC,,02 Dec 1993 (d)
Norway,Convention on the Rights of the Child,CRC,26 Jan 1990,08 Jan 1991
Oman,Convention on the Rights of the Child,CRC,,09 Dec 1996 (a)
Pakistan,Convention on the Rights of the Child,CRC,20 Sep 1990,12 Nov 1990
Palau,Convention on the Rights of the Child,CRC,,04 Aug 1995 (a)
Panama,Convention on the Rights of the Child,CRC,26 Jan 1990,12 Dec 1990
Papua New Guinea,Convention on the Rights of the Child,CRC,30 Sep 1990,02 Mar 1993
Paraguay,Convention on the Rights of the Child,CRC,04 Apr 1990,25 Sep 1990
Peru,Convention on the Rights of the Child,CRC,26 Jan 1990,04 Sep 1990
Philippines,Convention on the Rights of the Child,CRC,26 Jan 1990,21 Aug 1990
Poland,Convention on the Rights of the Child,CRC,26 Jan 1990,07 Jun 1991
Portugal,Convention on the Rights of the Child,CRC,26 Jan 1990,21 Sep 1990
Qatar,Convention on the Rights of the Child,CRC,08 Dec 1992,03 Apr 1995
Republic of Korea,Convention on the Rights of the Child,CRC,25 Sep 1990,20 Nov 1991
Republic of Moldova,Convention on the Rights of the Child,CRC,,26 Jan 1993 (a)
Romania,Convention on the Rights of the Child,CRC,26 Jan 1990,28 Sep 1990
Russian Federation,Convention on the Rights of the Child,CRC,26 Jan 1990,16 Aug 1990
Rwanda,Convention on the Rights of the Child,CRC,26 Jan 1990,24 Jan 1991
Saint Kitts and Nevis,Convention on the Rights of the Child,CRC,26 Jan 1990,24 Jul 1990
Saint Lucia,Convention on the Rights of the Child,CRC,30 Sep 1990,16 Jun 1993
Saint Vincent and the Grenadines,Convention on the Rights of the Child,CRC,20 Sep 1993,26 Oct 1993
Samoa,Convention on the Rights of the Child,CRC,30 Sep 1990,29 Nov 1994
San Marino,Convention on the Rights of the Child,CRC,,25 Nov 1991 (a)
Sao Tome and Principe,Convention on the Rights of the Child,CRC,,14 May 1991 (a)
Saudi Arabia,Convention on the Rights of the Child,CRC,,26 Jan 1996 (a)
Senegal,Convention on the Rights of the Child,CRC,26 Jan 1990,31 Jul 1990
Serbia,Convention on the Rights of the Child,CRC,,12 Mar 2001 (d)
Seychelles,Convention on the Rights of the Child,CRC,,07 Sep 1990 (a)
Sierra Leone,Convention on the Rights of the Child,CRC,13 Feb 1990,18 Jun 1990
Singapore,Convention on the Rights of the Child,CRC,,05 Oct 1995 (a)
Slovakia,Convention on the Rights of the Child,CRC,,28 May 1993 (d)
Slovenia,Convention on the Rights of the Child,CRC,,06 Jul 1992 (d)
Solomon Islands,Convention on the Rights of the Child,CRC,,10 Apr 1995 (a)
Somalia,Convention on the Rights of the Child,CRC,09 May 2002,01 Oct 2015
South Africa,Convention on the Rights of the Child,CRC,29 Jan 1993,16 Jun 1995
South Sudan,Convention on the Rights of the Child,CRC,,23 Jan 2015 (a)
Spain,Convention on the Rights of the Child,CRC,26 Jan 1990,06 Dec 1990
Sri Lanka,Convention on the Rights of the Child,CRC,26 Jan 1990,12 Jul 1991
State of Palestine,Convention on the Rights of the Child,CRC,,02 Apr 2014 (a)
Sudan,Convention on the Rights of the Child,CRC,24 Jul 1990,03 Aug 1990
Suriname,Convention on the Rights of the Child,CRC,26 Jan 1990,01 Mar 1993
Sweden,Convention on the Rights of the Child,CRC,26 Jan 1990,29 Jun 1990
Switzerland,Convention on the Rights of the Child,CRC,01 May 1991,24 Feb 1997
Syrian Arab Republic,Convention on the Rights of the Child,CRC,18 Sep 1990,15 Jul 1993
Tajikistan,Convention on the Rights of the Child,CRC,,26 Oct 1993 (a)
Thailand,Convention on the Rights of the Child,CRC,,27 Mar 1992 (a)
Timor-Leste,Convention on the Rights of the Child,CRC,,16 Apr 2003 (a)
Togo,Convention on the Rights of the Child,CRC,26 Jan 1990,01 Aug 1990
Tonga,Convention on the Rights of the Child,CRC,,06 Nov 1995 (a)
Trinidad and Tobago,Convention on the Rights of the Child,CRC,30 Sep 1990,05 Dec 1991
Tunisia,Convention on the Rights of the Child,CRC,26 Feb 1990,30 Jan 1992
TГјrkiye,Convention on the Rights of the Child,CRC,14 Sep 1990,04 Apr 1995
Turkmenistan,Convention on the Rights of the Child,CRC,,20 Sep 1993 (a)
Tuvalu,Convention on the Rights of the Child,CRC,,22 Sep 1995 (a)
Uganda,Convention on the Rights of the Child,CRC,17 Aug 1990,17 Aug 1990
Ukraine,Convention on the Rights of the Child,CRC,21 Feb 1990,28 Aug 1991
United Arab Emirates,Convention on the Rights of the Child,CRC,,03 Jan 1997 (a)
United Kingdom of Great Britain and Northern Ireland,Convention on the Rights of the Child,CRC,19 Apr 1990,16 Dec 1991
United Republic of Tanzania,Convention on the Rights of the Child,CRC,01 Jun 1990,10 Jun 1991
United States of America,Convention on the Rights of the Child,CRC,16 Feb 1995,
Uruguay,Convention on the Rights of the Child,CRC,26 Jan 1990,20 Nov 1990
Uzbekistan,Convention on the Rights of the Child,CRC,,29 Jun 1994 (a)
Vanuatu,Convention on the Rights of the Child,CRC,30 Sep 1990,07 Jul 1993
Venezuela (Bolivarian Republic of),Convention on the Rights of the Child,CRC,26 Jan 1990,13 Sep 1990
Viet Nam,Convention on the Rights of the Child,CRC,26 Jan 1990,28 Feb 1990
Yemen,Convention on the Rights of the Child,CRC,13 Feb 1990,01 May 1991
Zambia,Convention on the Rights of the Child,CRC,30 Sep 1990,06 Dec 1991
Zimbabwe,Convention on the Rights of the Child,CRC,08 Mar 1990,11 Sep 1990
,|,,,
Command item  |,,,,
Command item,,,,
,|,,,
