Date,Series,Value
2017-06-15,Volume Intensity,0.2517
2017-06-16,Volume Intensity,0.2617
2017-06-17,Volume Intensity,0.2783
2017-06-18,Volume Intensity,0.2933
2017-06-19,Volume Intensity,0.2982
2017-06-20,Volume Intensity,0.3024
2017-06-21,Volume Intensity,0.3137
2017-06-22,Volume Intensity,0.321
2017-06-23,Volume Intensity,0.3226
2017-06-24,Volume Intensity,0.2859
2017-06-25,Volume Intensity,0.289
2017-06-26,Volume Intensity,0.2889
2017-06-27,Volume Intensity,0.2761
2017-06-28,Volume Intensity,0.2635
2017-06-29,Volume Intensity,0.2589
2017-06-30,Volume Intensity,0.2793
2017-07-01,Volume Intensity,0.2762
2017-07-02,Volume Intensity,0.2794
2017-07-03,Volume Intensity,0.2844
2017-07-04,Volume Intensity,0.2923
2017-07-05,Volume Intensity,0.3018
2017-07-06,Volume Intensity,0.3007
2017-07-07,Volume Intensity,0.3011
2017-07-08,Volume Intensity,0.3067
2017-07-09,Volume Intensity,0.3153
2017-07-10,Volume Intensity,0.321
2017-07-11,Volume Intensity,0.3173
2017-07-12,Volume Intensity,0.3181
2017-07-13,Volume Intensity,0.31
2017-07-14,Volume Intensity,0.2944
2017-07-15,Volume Intensity,0.2749
2017-07-16,Volume Intensity,0.2474
2017-07-17,Volume Intensity,0.2435
2017-07-18,Volume Intensity,0.2327
2017-07-19,Volume Intensity,0.229
2017-07-20,Volume Intensity,0.2174
2017-07-21,Volume Intensity,0.2165
2017-07-22,Volume Intensity,0.2102
2017-07-23,Volume Intensity,0.2049
2017-07-24,Volume Intensity,0.1971
2017-07-25,Volume Intensity,0.1875
2017-07-26,Volume Intensity,0.1856
2017-07-27,Volume Intensity,0.1848
2017-07-28,Volume Intensity,0.19
2017-07-29,Volume Intensity,0.1717
2017-07-30,Volume Intensity,0.1741
2017-07-31,Volume Intensity,0.1725
2017-08-01,Volume Intensity,0.1656
2017-08-02,Volume Intensity,0.1632
2017-08-03,Volume Intensity,0.1657
2017-08-04,Volume Intensity,0.1732
2017-08-05,Volume Intensity,0.1948
2017-08-06,Volume Intensity,0.2051
2017-08-07,Volume Intensity,0.2205
2017-08-08,Volume Intensity,0.2169
2017-08-09,Volume Intensity,0.2112
2017-08-10,Volume Intensity,0.213
2017-08-11,Volume Intensity,0.1878
2017-08-12,Volume Intensity,0.1808
2017-08-13,Volume Intensity,0.1957
2017-08-14,Volume Intensity,0.2009
2017-08-15,Volume Intensity,0.2019
2017-08-16,Volume Intensity,0.208
2017-08-17,Volume Intensity,0.2178
2017-08-18,Volume Intensity,0.2229
